SKU,Handle,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
LIWU14A,graduation-gifts,Graduation Gifts,Cufflink,HAPPINESS SILVER CUFFLINKS,Default Title,129.00,Yes,https://liwujewellery.com/products/happiness-silver-cufflinks,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/Happiness_Silver_Cufflinks_by_Liwu_2048x2048.jpg?v=1536937729,"<h4>STERLING SILVER ROUND CUFFLINKS WITH CHINESE CALLIGRAPHY CHARACTER FOR HAPPINESS AND GOOD FORTUNE.</h4>
<div class=""shop-item-price mtb-15 ptb-15"">
<span></span>Confucius said 'with only coarse rice to eat, with only water to drink and my bended arm as a pillow, I am happy' Absolute happiness, he contented, comes not from material things but from one's inner life.</div>
<dl class=""dl-horizontal project-detail-block ptb-15"">
<dt>
<strong>Dimensions/Sizing   </strong>1.5cm/0.6 inches in width.</dt>
<dt>
<strong>Materials Used</strong>   Highly polished sterling silver. Made in Ireland and Hallmarked in the Assay Office, Dublin.</dt>
</dl>"
NAT0014,graduation-gifts,Graduation Gifts,Earring,PROGRESS GOLD CELTIC EARRINGS,Gold,119.00,Yes,https://liwujewellery.com/products/progress-gold-celtic-earrings,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/native_progress_gold_earrings_by_Liwu_2048x2048.jpg?v=1524329698,"<h4>SMALL, DROP GOLD CLETIC EARRINGS WITH CELTIC SPIRAL TRISKELE SYMBOL</h4>
<div class=""shop-item-price mtb-15 ptb-15""><em>‘The human mind always makes progress; this progress is made in spirals’.</em></div>
<div class=""shop-item-price mtb-15 ptb-15""><em></em></div>
<div class=""shop-item-price mtb-15 ptb-15"">The Triskele symbol is also known the triple spiral and believed to be the Celtic symbol of progression, creativity and intuition. The special quote and meaning is explained on a card as pictured.</div>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<div class=""shop-item-price mtb-15 ptb-15"">A great gift as it is meaningful as well as easy to wear.</div>
<div class=""shop-item-price mtb-15 ptb-15""><strong></strong></div>
<div class=""shop-item-price mtb-15 ptb-15"">
<strong>Dimensions/Sizing   </strong>Discs width is 0.4inch (1cm) and 0.05inch (1.2mm) thick.<strong>Materials Used</strong>   18ct Hard Gold-Plated 925 sterling silver</div>
<p><strong>Irish Jewelry with meaning Designed and Made in Ireland. </strong></p>"
NAT0012,graduation-gifts,Graduation Gifts,Bracelet,PROGRESS GOLD CELTIC BRACELET,Gold,119.00,Yes,https://liwujewellery.com/products/progress-gold-triskele-celtic-bracelet,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/native_progress_gold_bracelet_by_Liwu_2048x2048.jpg?v=1522186798,"<h4>SIMPLE, DELICATE GOLD PLATED SILVER TRISKELE CELTIC BRACELET WITH SPIRAL TRISKELE SYMBOL</h4>
<p>A simple bracelet with Triskele symbol meaning progression, intuition and creativity.  A meaning card with quote:</p>
<div class=""shop-item-price mtb-15 ptb-15"">
<em>'The human mind always makes progress; this progress is made in spirals’.</em> </div>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<div class=""shop-item-price mtb-15 ptb-15"">Is included as pictured. </div>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<div class=""shop-item-price mtb-15 ptb-15"">The ideal gift that's meaningful and simple yet stylish.</div>
<dl class=""dl-horizontal project-detail-block ptb-15"">
<dt>
<strong>Dimensions/Sizing   </strong>7inch (17cm) bracelet with diamond cut trace chain.</dt>
<dt>
<strong>Materials Used</strong>   18t Hard Gold plated sterling silver.</dt>
<dt><strong>Made in Ireland and Hallmarked in the Assay Office, Dublin.</strong></dt>
</dl>"
2,graduation-gifts,Graduation Gifts,Earring,HAPPINESS GOLD STUD EARRINGS,Default Title,119.00,Yes,https://liwujewellery.com/products/happiness-gold-stud-earrings,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/webrez_007.jpg?v=1536937688,"<h4>SIMPLE STUD EARRINGS IN GOLD PLATED SILVER WITH CHINESE CHARACTER FOR HAPPINESS AND GOOD FORTUNE.</h4>
<h4>These Happiness gold earrings include a meaning card explaining the pictogram and quote as follows: Confucius said ‘with only coarse rice to eat, with only water to drink and my bended arm for a pillow, I am happy’ . Absolute happiness, he contended, comes not from material things but one's inner life.</h4>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<dl class=""dl-horizontal project-detail-block ptb-15"">
<dt>
<strong>Dimensions/Sizing</strong>   Discs width is 1cm/0.4inch and 1.2mm/0.08inch thick.</dt>
<dt>
<strong>Materials Used </strong>   18ct Hard Gold-plated 925 sterling silver. Made and Designed in Ireland.</dt>
</dl>"
2,graduation-gifts,Graduation Gifts,Earring,PROGRESS STUD GOLD CELTIC EARRINGS,Gold,119.00,Yes,https://liwujewellery.com/products/stud-gold-celtic-triskele-earrings,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/webrez_005.jpg?v=1530537863,"<p>SIMPLE ONE DISC STUD 18CT GOLD PLATED CELTIC EARRINGS WITH CELTIC SPIRAL TRISKELE SYMBOL MEANING PROGRESS. </p>
<p><span>These earrings come with a meaning and special quote as follows:'The human mind always makes progress; this progress is made in spirals’. The Triskele symbol is associated with never ending change, the continuous rolling forward of seasons into the future.</span></p>
<p><span><strong>Dimensions/Sizing   </strong>Discs width is 1cm/0.4inch and 1.2mm/0.08inch thick.</span></p>
<p><span><strong>Materials Used</strong>   18CT gold plated sterling silver (a heavy good layer, 3.2microns). I<strong>rish Jewelry Designed and Made in Ireland and Hallmarked in the Assay Office, Dublin Castle.</strong></span></p>"
2,graduation-gifts,Graduation Gifts,Earring,PROGRESS STUD SILVER CELTIC EARRINGS,Silver,99.00,Yes,https://liwujewellery.com/products/celticearrings,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/webrez_011.jpg?v=1530532310,"<p>SIMPLE ONE DISC STUD SILVER CELTIC EARRINGS WITH CELTIC SPIRAL TRISKELE SYMBOL MEANING PROGRESS. </p>
<p><span>These earrings come with a meaning and special quote as follows:'The human mind always makes progress; this progress is made in spirals’. The Triskele symbol is associated with never ending change, the continuous rolling forward of seasons into the future.</span></p>
<p><span><strong>Dimensions/Sizing   </strong>Discs width is 1cm/0.4inch and 1.2mm/0.08inch thick.</span></p>
<p><span><strong>Materials Used</strong>   Sterling Silver.<strong> Irish Jewelry Designed and Made in Ireland and Hallmarked in the Assay Office, Dublin Castle.</strong></span></p>"
LIWUNAT8B,graduation-gifts,Graduation Gifts,Cufflink,PROGRESS GOLD CELTIC CUFFLINKS,Gold,159.00,Yes,https://liwujewellery.com/products/progress-gold-celtic-cufflinks,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/Progress_Gold_Plated_Cufflinks_by_Liwu_2048x2048.jpg?v=1522187147,"<h4>ROUND CLASSIC GOLD PLATED STERLING SILVER CELTIC CUFFLINKS WITH TRISKELE SYMBOL MEANING PROGRESS.</h4>
<p>Classic but stylish men's cufflinks with a very appropriate meaning. The ideal gift!</p>
<p>The Triskele is a symbol of progression, creativity and intuition. The meaning of the triple spiral is included with the cufflinks as pictured. </p>
<dl class=""dl-horizontal project-detail-block ptb-15"">
<dt>
<strong>Dimensions/Sizing   </strong>0.6 inches(1.5cm) in width. </dt>
<dt>
<strong>Materials Used </strong>  Highly polished 18ct Hard Gold-Plated 925 sterling silver</dt>
</dl>
<p><strong>Irish Jewelry Designed and Made in Ireland. </strong></p>"
AU0013,graduation-gifts,Graduation Gifts,Bracelet,HAPPINESS GOLD BRACELET,Default Title,119.00,Yes,https://liwujewellery.com/products/happiness-gold-bracelet,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/Liwu_-_Gold_Happiness_Bracelet_2048x2761.jpg?v=1536937583,"<h4>SIMPLE, DELICATE GOLD BRACELET WITH CHINESE CHARACTER MEANING HAPPINESS AND GOOD FORTUNE.</h4>
<h4>This Happiness Gold bracelet is the perfect gift with meaning. This chinese bracelet includes a meaning card explaining the pictogram character as follows:</h4>
<h4>Confucius said 'with only coarse rice to eat, with only water to drink and my bended arm for a pillow, I am happy'. Absolute happiness, he contended, comes not from material things but from one's inner life.</h4>
<dl class=""dl-horizontal project-detail-block ptb-15"">
<dt>
<strong>Dimensions/Sizing </strong>  Bracelet length is 7.5inches/19cm</dt>
<dt>
<strong>Materials Used </strong>  Made of 18ct Hard Gold Plated sterling silver. Designed and Made and hallmarked in Dublin Castle.</dt>
</dl>"
AU0004,graduation-gifts,Graduation Gifts,Earring,HAPPINESS GOLD EARRINGS,Default Title,119.00,Yes,https://liwujewellery.com/products/happiness-gold-earrings,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/Happiness_Gold_Earrings_by_Liwu_2048x2048.jpg?v=1536937621,"<h4>SMALL DROP EARRINGS IN GOLD PLATED SILVER WITH CHINESE CHARACTER FOR HAPPINESS AND GOOD FORTUNE.</h4>
<h4>These Happiness gold earrings include a meaning card explaining the pictogram and quote as follows: Confucius said ‘with only coarse rice to eat, with only water to drink and my bended arm for a pillow, I am happy’ . Absolute happiness, he contended, comes not from material things but one's inner life.</h4>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<dl class=""dl-horizontal project-detail-block ptb-15"">
<dt>
<strong>Dimensions/Sizing</strong>   Discs width is 1cm and 1.2mm thick.</dt>
<dt>
<strong>Materials Used </strong>   18ct Hard Gold-plated 925 sterling silver. Made in Ireland.</dt>
</dl>"
AG0004,graduation-gifts,Graduation Gifts,Earring,HAPPINESS SILVER EARRINGS,Default Title,99.00,Yes,https://liwujewellery.com/products/happiness-silver-earrings,https://cdn.shopify.com/s/files/1/0004/8421/2802/products/Happiness_Silver_Earrings_by_Liwu_2048x2048.jpg?v=1536937787,"<h4>SMALL DROP SILVER HAPPINESS EARRINGS WITH CHINESE CHARACTER FOR GOOD FORTUNE AND HAPPINESS.</h4>
<div class=""shop-item-price mtb-15 ptb-15"">
<span></span>These earrings come with a meaning card to explain the pictogram and a special quote as follows: Confucius said ‘with only coarse rice to eat, with only water to drink and my bended arm for a pillow, I am happy’ . Absolute happiness, he contended, comes not from material things but one's inner life.</div>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<div class=""shop-item-price mtb-15 ptb-15""></div>
<dl class=""dl-horizontal project-detail-block ptb-15"">
<dt>
<strong>Dimensions/Sizing</strong>   Disc width size is 1.1cm/0.5inches and 1.2mm/0.07 inches thick.</dt>
<dt>
<strong>Materials Used</strong>   925 sterling silver. Designed and Made in Ireland. Hallmarked in Dublin Castle.</dt>
<dt></dt>
</dl>"
